"","B10_S1","B11_S2","B12_S3","D10_S4","D11_S5","D12_S6","H13_S7","H14_S8","H15_S9","L13_S10","L14_S11","L15_S12"
"FGRAM000v1_002723",6.55758514603379,6.55758514603379,6.55758514603379,6.85625431490105,6.72592452809952,6.55758514603379,6.55758514603379,6.55758514603379,6.70285997470983,6.88267759820682,6.68864631701748,6.69755925269049
"FGRAM000v1_002724",6.75694063081879,6.84186287967301,6.90042662170258,7.36620053733811,7.42400277098367,7.38364158253656,7.0959155368335,6.99703668944219,7.029905927874,7.04625580764442,7.02107365855643,6.9581235151986
"FGRAM000v1_002725",6.75957052768645,6.73088505926814,6.73372841498212,6.63955341456145,6.6419033446428,6.55758514603379,6.71970952368744,6.55758514603379,6.64903187257284,6.78579944602045,6.76183332766294,6.55758514603379
"FGRAM000v1_002729",6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.62277804412421,6.64088601636923,6.55758514603379
"FGRAM000v1_002730",6.55758514603379,6.69152103624812,6.73288818090659,6.63838662498608,6.72748540002132,6.55758514603379,6.55758514603379,6.64638247290869,6.55758514603379,6.6619814665493,6.69018416025029,6.55758514603379
"FGRAM000v1_002731",6.68678068296218,6.69165017493659,6.86331230479559,6.68602092517442,6.728365245226,6.65036032611601,6.63746236569716,6.7350286402011,6.70265773190142,6.55758514603379,6.68936019530828,6.6985516910089
"FGRAM000v1_002732",6.68729530319604,6.79197082008887,6.55758514603379,6.75698362750329,6.55758514603379,6.83797201244455,6.75318421396828,6.64568464129889,6.64969893581394,6.74251400434899,6.78915820338871,6.77254945961751
"FGRAM000v1_002733",7.34814106263469,7.40306463780585,7.36601354726162,7.45248513411105,7.61366178370645,7.47254306113838,7.60056697074919,7.44790399042652,7.65988241941732,7.72000268320953,7.85094585830388,7.70528130277642
"FGRAM000v1_002736",9.02143974657534,9.10547913709123,9.07457192944933,8.31735322026558,8.40796316567,8.32295068941416,9.44391959850384,9.42889816558615,9.32946881412038,8.40979121645978,8.31852293614356,8.25029169018821
"FGRAM000v1_002737",9.61002727177216,9.6539490345916,9.44707263348077,8.75033254267149,8.73918017822735,8.72873070810738,9.34719688342062,9.47399200927728,9.51869344421862,8.98375157165685,8.97865935678685,8.89972602409516
"FGRAM000v1_002738",7.40966768249727,7.41131133308254,7.46628523188475,7.29987626196774,7.24205930426077,7.37341586614003,7.52921019325599,7.44213563763108,7.60473295263206,7.44378609509969,7.4376564205674,7.31939577002729
"FGRAM000v1_002740",6.96886808485559,6.76256711044459,6.82349551834086,7.12851958136285,7.01083707226856,7.10877980573916,6.77994065146518,6.64535948796452,6.95712995759143,7.01965570560258,7.0830121622412,7.10135364398303
"FGRAM000v1_002741",7.35430061638071,7.21808211457225,7.49260391864842,7.23001877694047,7.00703001034982,7.2987964999418,7.07746523051419,6.98325226284588,6.93123888154762,6.95215597886914,7.12504367344121,6.90331966192338
"FGRAM000v1_002742",7.53147234879678,7.74712460806624,7.7037697247065,8.09886938539959,8.21513631415852,8.09853838063901,7.82177187192043,7.9557834109031,7.88577961415067,8.39888092420205,8.33121394865407,8.41537518514388
"FGRAM000v1_002743",8.14547671077564,8.28877422608682,8.18337716895917,7.97020135160481,8.15146217996334,7.96188027193562,8.1640697371828,8.21856003552796,8.2113125447341,8.20200853550685,8.24849293980437,8.19326493600317
"FGRAM000v1_002744",6.55758514603379,6.6418234963183,6.55758514603379,6.75444194517744,6.64088936310011,6.74221892586337,6.55758514603379,6.55758514603379,6.6494495368362,6.71897934157619,6.81483753429705,6.77203016505598
"FGRAM000v1_002745",7.34556922814022,7.34855076920022,7.17307923247652,7.4807936606285,7.64421371485955,7.45548083914154,7.16027273635697,7.45130792200036,7.33357052059543,7.55384701259706,7.55246347006161,7.67212902917294
"FGRAM000v1_002746",6.91830806127624,6.92756622359983,6.73459914922823,7.07166904756861,7.08148809993931,7.16335540586924,6.97771118689812,6.92075848125431,6.95308594710732,7.1491660548889,6.97749927104511,7.1627973725131
"FGRAM000v1_002747",7.22871428184874,7.16385586324465,7.09946927679,7.47642562623335,7.39689357009454,7.37619783128476,7.17905241602669,7.21379128653859,7.27239679954461,7.63730930342996,7.53937755113431,7.46155615157146
"FGRAM000v1_002748",6.64089959150165,6.64558343307554,6.67087295116449,6.55758514603379,6.64227444479721,6.55758514603379,6.6805258702553,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379
"FGRAM000v1_002749",8.038617131236,7.78206723000399,7.89205616110145,8.33958069606845,8.19947497939533,8.31844835749633,8.19166196792408,8.12456756350931,8.28500553363581,8.59966779584983,8.4983410021548,8.6189255662436
"FGRAM000v1_002751",6.55758514603379,6.55758514603379,6.55758514603379,6.68528496323396,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.763449807343,6.64151076489795,6.64640822700423
"FGRAM000v1_002752",8.57661575819641,8.55680797531374,8.56053257779974,9.24774929683738,9.22967121140778,9.20842186140156,8.80295206433247,8.77886808905458,8.86996285029596,9.00740194719159,9.15235843894688,9.12841530327225
"FGRAM000v1_002753",9.47964458671396,9.52816910019993,9.35464480274118,10.2956416653592,10.3929929962429,10.1730951564606,9.93032674312336,10.0630077486326,9.90930610003289,10.5099810681463,10.6222952337776,10.6743759959979
"FGRAM000v1_002754",7.75021430697757,7.91722170252711,7.87352529968455,7.83084861193026,7.74381399364816,7.8776358628497,8.06495371892846,7.89992454985955,7.96934112061516,8.1712254369602,8.10520208325361,8.20755274270539
"FGRAM000v1_002755",6.87965027634977,6.79553950189998,6.86224461327294,6.99570404865942,7.07162218034455,7.09213692408226,6.8465983581188,6.89830922278247,6.95479305315434,7.24061864488114,7.14751975280598,7.1535187705135
"FGRAM000v1_002756",7.62719060630603,7.56723820641799,7.2291249267552,7.71388298435023,7.95236662056839,7.72780127039492,7.22308041870067,7.33219406068282,7.37288288938742,7.94897588226247,8.00396135324797,8.11737434389834
"FGRAM000v1_002757",9.81980406361361,9.7682622424401,9.71242204823988,9.38496046016021,9.37069966093838,9.42211170288316,9.76865202810636,9.73119040005648,9.73142384055663,9.6918096961148,9.52634973241467,9.50540225868201
"FGRAM000v1_002758",7.4558755342044,7.42420015853294,7.14663700823803,7.46785265134906,7.57286776254318,7.6408064110025,7.47273698854524,7.33042113662928,7.35286931454595,7.45043440461245,7.47906239604313,7.57036063747728
"FGRAM000v1_002759",6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.62312363049019,6.64045961341154,6.55758514603379
