gene_id,DEG_black,l2fc_black,DEG_dark,l2fc_dark,DEG_low,l2fc_low
FGSG_01743,0,0.402333185533823,0,0.0092857058563088,0,-0.0236274459658396
FGSG_01776,0,,0,,0,
FGSG_01866,0,-0.777699525309307,0,0.756583062779676,0,0.878165598350671
FGSG_01947,0,-0.409469915079023,1,-1.48930965935093,1,-1.41460416994632
FGSG_01956,0,0.0763756640691455,0,0.526448302063346,0,0.33456362863541
FGSG_01981,1,4.26087387217686,0,0.0102639552976388,0,-0.0881136359653977
FGSG_01991,0,-0.29209715385645,0,-0.994530273905556,0,-0.724251918465986
FGSG_02030,0,0.0785907144479877,0,-0.300445219313725,0,-0.439239971894378
FGSG_02077,0,0.0578077209977204,0,0.582810291214355,0,0.754226387294114
FGSG_02206,1,-1.58132816736303,1,-1.39733557638763,1,-2.7826111773111
FGSG_02255,0,-0.245556911155624,0,1.07872821707167,0,1.14951417184582
FGSG_02258,0,-0.201730021027076,0,0.331463459043779,0,0.687949353560438
FGSG_02271,0,0.299706556425385,1,-1.92034046877088,1,-3.76961888879586
FGSG_02272,0,0.526807206945726,1,-1.42629678054371,1,-2.34432118006219
FGSG_02320,0,-0.304772103092138,0,0.606872274108133,0,0.865115192873297
FGSG_02321,0,-0.451309938883789,0,0.879886129022226,0,0.997664818560395
FGSG_02322,0,-0.13384498862686,0,0.605541946505586,0,0.140292579956733
FGSG_02323,0,-0.199354734380119,0,0.528765364059885,0,0.555488015345568
FGSG_02324,1,-1.89875397081068,1,4.01903252273678,1,3.99336472717344
FGSG_02325,1,-2.24249986860313,1,4.04182882542288,1,4.24270180578408
FGSG_02326,1,-2.93899227862523,1,3.48684478569168,1,4.07968583069562
FGSG_02327,1,-3.45203360689389,1,3.82232915651941,1,4.2569785811736
FGSG_02328,1,-4.21924232490605,1,3.94336291970968,1,4.54541358300753
FGSG_02329,1,-4.12118455515395,1,4.03489569690975,1,4.86178197323675
FGSG_02352,0,0.0607447840327509,0,0.231524937454126,0,-0.148963645903378
FGSG_02377,0,0.0063340555198051,0,0.0252344223810662,0,-0.0801980235578773
FGSG_02395,0,,0,,0,
FGSG_02397,0,0.18430222276648,0,0.289803452123519,0,0.201707511301283
FGSG_02398,0,0.108428015685169,0,-0.100466486421314,0,-0.237880488947308
FGSG_02447,0,0.0018925076418742,0,0.0349287179923265,0,-0.0053543189017628
FGSG_02461,0,0.194356770606571,0,-0.432154660337014,0,-0.747566643234854
FGSG_02554,0,0.16846591119689,0,-0.727954666948741,0,-0.517362730831799
FGSG_02770,0,-0.161181870553641,0,-0.323329845373511,0,-0.428783804929151
FGSG_02782,0,0.016568605362248,0,-0.313532533420999,0,-0.654144614208571
FGSG_02799,0,0.181090943190446,0,0.217711378985997,0,0.446650794273144
FGSG_02840,0,-0.209583804034848,1,1.73828725030756,1,1.60845719923975
FGSG_02903,0,-0.212249462003034,1,2.4379482977492,1,2.70869265321782
FGSG_02972,0,0.872029260968261,0,-0.840395487389165,0,-0.563807348255279
FGSG_03019,0,0.347157261180447,0,0.119308633071997,0,0.0827444389909795
FGSG_03061,0,0.574215700700942,1,-1.54177083740946,1,-2.49798277457689
FGSG_03062,0,0.0574246680186862,1,1.6063434507782,1,4.24865472640941
FGSG_03064,1,2.5843654060954,1,4.02642213510951,1,-3.49588300067042
